id,name,floorID,buildingID,tenantID,is_active,device_count
171,Lounge,102,72,2,True,1
170,Reception,100,72,2,True,3
142,Cafe + Reception,80,57,2,True,1
143,Comms Room,80,57,2,True,2
56,Reception,35,24,2,True,1
146,Comms Room,84,61,2,True,2
147,Lounge,84,61,2,True,1
149,Lounge,85,61,2,True,1
151,Reception,85,61,2,True,1
150,Eatery,85,61,2,True,1
148,Meeting Lounge,85,61,2,True,1
48,Reception,28,19,2,True,1
49,Orangery,28,19,2,True,1
58,Lounge,37,25,2,True,1
57,Lounge,36,25,2,True,1
64,Lounge,43,30,2,True,1
52,Reception - Changing Rooms,30,21,2,True,1
51,Gym,31,21,2,True,1
93,Reception and Terrace,64,49,2,True,1
91,Main - Reception,62,47,2,True,1
11,Nest Room 3,5,3,2,True,4
19,Nest Comms Room,5,3,2,True,1
5,Atrium,5,3,2,True,1
10,Nest Room 4,5,3,2,True,4
6,Nest Communal Area ,5,3,2,True,2
7,Nest Wellness Suite ,5,3,2,True,1
12,Nest Room 2,5,3,2,True,4
20,Main Comms Room,5,3,2,True,1
4,Reception,4,3,2,True,1
45,Roof Terrace,25,17,2,True,1
44,Lounge,24,17,2,True,1
72,Cafe,50,37,2,True,1
62,Reception,41,28,2,True,1
50,Reception,29,20,2,True,1
67,Reception,46,33,2,True,1
127,Room 2,1,1,2,True,6
124,Room 5,1,1,2,True,3
117,Booths,1,1,2,True,1
121,Room 8,1,1,2,True,1
119,Reception,1,1,2,True,4
125,Room 4,1,1,2,True,3
120,Coworking,1,1,2,True,1
118,Gem,1,1,2,True,2
123,Room 6,1,1,2,True,4
128,Room 1,1,1,2,True,6
126,Room 3,1,1,2,True,6
122,Room 7,1,1,2,True,1
1,Comms,1,1,2,True,5
129,Lounge,1,1,2,True,4
24,Reception,8,5,2,True,1
23,Lounge,8,5,2,True,0
47,Reception,27,18,2,True,1
46,Studio,26,18,2,True,1
160,Reception,90,64,2,True,1
159,Gym,90,64,2,True,1
132,Lounge,78,55,2,True,2
135,Cafe,78,55,2,True,1
131,Comms Room,78,55,2,True,2
134,Restaurant,78,55,2,True,1
133,Bar,78,55,2,True,1
136,Retail,78,55,2,True,2
130,Changing Rooms,78,55,2,True,1
61,Reception,40,27,2,True,1
55,Reception,34,23,2,True,1
141,Reception,81,58,2,True,1
27,Cafe - Co-working - Space,11,8,2,True,1
11,Ground Floor Reception + Lobby,5,2,5,True,1
12,11th Floor Reception + Hub,6,2,5,True,1
5,Suite 6.1,4,1,5,True,6
4,Corridor,4,1,5,True,1
10,Orbit Suit,4,1,5,True,2
6,Suite 6.2,4,1,5,True,4
7,Suite 6.3,4,1,5,True,2
8,Suite 6.4,4,1,5,True,2
9,Suite 6.5,4,1,5,True,12
2,Reception,2,1,5,True,1
1,Comms Room,1,1,5,True,2
14,Corridor,8,1,5,True,1
3,Corridor,3,1,5,True,1
13,Ground Floor Audio,7,3,5,True,1
2,Side Entrance,1,1,8,True,1
1,Main Entrance,1,1,8,True,2
10,Gym,6,2,6,True,1
9,Reception + Cafe,6,2,6,True,1
7,Lobby,5,1,6,True,1
6,Lobby,4,1,6,True,2
4,Lobby,2,1,6,True,2
2,Cafe,1,1,6,True,2
1,Comms,1,1,6,True,3
3,Lobby,1,1,6,True,2
5,Lobby,3,1,6,True,2
6,Portable,4,2,4,True,6
5,Portable,3,1,4,True,4
1,Office Space,2,3,4,True,1
4,Reception,1,3,4,True,2
2,Entrance,1,3,4,True,1
3,Utility Room,1,3,4,True,3
15,Standup,2,1,1,True,6
4,Huddle,2,1,1,True,4
10,Workshop,2,1,1,True,0
6,DJ,2,1,1,True,1
13,Booths,2,1,1,True,1
2,Reception,2,1,1,True,1
7,Digispace,2,1,1,True,1
1,Sitdown,2,1,1,True,9
8,Comms,2,1,1,True,4
11,Cafe,2,1,1,True,7
9,Cinema,2,1,1,True,3
3,Lounge,2,1,1,True,6
17,Toilet,2,1,1,True,2
16,Kitchen,2,1,1,True,0
12,Brainstorm,2,1,1,True,6
5,Entrance,1,1,1,True,1
14,Goods In,1,1,1,True,0
2,Social Hub,1,1,3,True,1
1,Event Space,1,1,3,True,1
1,Reception,1,1,9,True,1
4,Comms Room,1,1,7,True,2
1,Cafe + Lounge,1,1,7,True,1
3,Workspace,1,1,7,True,1
