id,name,label,cloud_id,tenantID,buildingID,floorID,zoneID,deviceProfileID,is_active,licence_status
9,AirQuality_G9i2CHgM8TzP,Air Quality Sensor,89b46fd0-5107-11f0-a19e-8f874a1c01d3,2,3,5,10,6,True,True
51,AirQuality_CzdYrSlKckxh,AirQuality,f9b436a0-609b-11f0-a19e-8f874a1c01d3,2,3,5,6,6,True,True
14,Occupancy_i1ymDmZag5ZU,Occupancy Sensor,23bd71f0-5110-11f0-a19e-8f874a1c01d3,2,3,5,12,3,True,True
15,AirQuality_HfliLr0LatGk,Air Quality Sensor,57e509c0-5110-11f0-a19e-8f874a1c01d3,2,3,5,12,6,True,True
48,Gateway_8BQAyXc3a872,Gateway,4c9659f0-6099-11f0-a19e-8f874a1c01d3,2,3,5,20,1,True,True
131,IAQ_y2mcNuuXcDTr,IAQ,ad692080-6c8a-11f0-a19e-8f874a1c01d3,2,1,1,127,6,True,True
156,IAQ_jb6WMm7pPFHV,IAQ,7ce20b30-6c8e-11f0-a19e-8f874a1c01d3,2,1,1,124,6,True,True
167,IAQ_BbanNjLRjJEK,IAQ,f8816c80-6c8f-11f0-a19e-8f874a1c01d3,2,1,1,121,6,True,True
152,IAQ_wUXUUolFJYK9,IAQ,b6f4f220-6c8d-11f0-a19e-8f874a1c01d3,2,1,1,125,6,True,True
168,IAQ_snIQf0ZRGHAv,IAQ,45c9aa20-6c90-11f0-a19e-8f874a1c01d3,2,1,1,120,6,True,True
175,IAQ_h9zKxsIn3YYV,IAQ,91399360-6c92-11f0-a19e-8f874a1c01d3,2,1,1,118,6,True,True
165,IAQ_2Mx02nIKVGL4,IAQ,45140b30-6c8f-11f0-a19e-8f874a1c01d3,2,1,1,123,6,True,True
123,IAQ_LANa7c0nlzIi,IAQ,3966b5f0-6c88-11f0-a19e-8f874a1c01d3,2,1,1,128,6,True,True
146,IAQ_KcWGBiSXBgiH,IAQ,6a401050-6c8c-11f0-a19e-8f874a1c01d3,2,1,1,126,6,True,True
166,IAQ_tkhi6FivR9TG,IAQ,7800d910-6c8f-11f0-a19e-8f874a1c01d3,2,1,1,122,6,True,True
180,Mechanical_6GLhDh3LhfoA,Mechanical,7ae1dc20-6c93-11f0-a19e-8f874a1c01d3,2,1,1,1,5,True,True
181,Lighting_AZ8sHHCcBlzW,Lighting,9e0a8fd0-6c93-11f0-a19e-8f874a1c01d3,2,1,1,1,5,True,True
231,Gateway_G4xDRbK4lhBS,Gateway,8e62fa80-7437-11f0-a19e-8f874a1c01d3,2,1,1,1,1,True,True
178,SmallPower_cOApV9qH6UMo,Small Power,47911c50-6c93-11f0-a19e-8f874a1c01d3,2,1,1,1,5,True,True
121,IAQ_QhyE1TAlqL4E,IAQ,59a22a30-6c87-11f0-a19e-8f874a1c01d3,2,1,1,129,6,True,True
137,Gateway_M54dsz1YKQni,Gateway,3f6a2420-6c8b-11f0-a19e-8f874a1c01d3,2,55,78,131,1,True,True
145,Main Entrance_OW1VbG6SsBif,Main Entrance,45f598f0-6c8c-11f0-a19e-8f874a1c01d3,2,55,78,136,2,True,True
11,CO2_ErFIKXsDjzLn,CO2,44e34970-6648-11f0-a19e-8f874a1c01d3,5,1,4,5,6,True,True
12,Humidity_0CCXiSsa35UF,Humidity,60470170-6648-11f0-a19e-8f874a1c01d3,5,1,4,5,6,True,True
13,Temperature_n2HWkemA5Ps9,Temperature,89ad2670-6648-11f0-a19e-8f874a1c01d3,5,1,4,5,6,True,True
15,Energy_JIYQV161Yotw,Energy,cf271990-6648-11f0-a19e-8f874a1c01d3,5,1,4,5,5,True,True
9,Energy_6Dg3CB7CR8iy,Energy,fa5d8730-6647-11f0-a19e-8f874a1c01d3,5,1,4,10,5,True,True
20,Energy_3Z99vDWK76va,Energy,600552a0-664a-11f0-a19e-8f874a1c01d3,5,1,4,6,5,True,True
21,Energy_vDBYNqYhdDm5,Energy,8bd8ce20-664a-11f0-a19e-8f874a1c01d3,5,1,4,7,5,True,True
23,Energy_vACnx5Y8XoGG,Energy,ae728840-664a-11f0-a19e-8f874a1c01d3,5,1,4,8,5,True,True
26,CO2_qafxEt2K6qLZ,CO2,072b8b80-664b-11f0-a19e-8f874a1c01d3,5,1,4,9,6,True,True
27,Humidity_GmHKeXkhhER5,Humidity,183915a0-664b-11f0-a19e-8f874a1c01d3,5,1,4,9,6,True,True
28,Temperature_n86EEaC4v1YC,Temperature,31831560-664b-11f0-a19e-8f874a1c01d3,5,1,4,9,6,True,True
33,Energy 1_AhSbBfdzW11o,Energy 1,21072930-66d5-11f0-a19e-8f874a1c01d3,5,1,4,9,5,True,True
35,Energy 2_lyx4NPLa9vaH,Energy 2,548e6250-66d5-11f0-a19e-8f874a1c01d3,5,1,4,9,5,True,True
1,Gateway_GAtI9ZYpi81Y,Gateway,cb46c6a0-60ac-11f0-a19e-8f874a1c01d3,5,1,1,1,1,True,True
4,Side Entrance_RMgwn2Q7zLeu,Side Entrance,71908fe0-8d68-11f0-a19e-8f874a1c01d3,8,1,1,2,2,True,True
3,Gateway_20OPRdNzexXe,Gateway,81ac64e0-8c95-11f0-a19e-8f874a1c01d3,8,1,1,1,1,True,True
1,People Counter (Left Entrance)_L6obJwJXK3yz,Main Entrance,64e52540-8c95-11f0-a19e-8f874a1c01d3,8,1,1,1,2,True,True
1,Basement Mechanical_MRty02BgMoo3,Basement Mechanical,0c863990-662d-11f0-a19e-8f874a1c01d3,6,1,1,1,5,True,True
3,Gateway_X0txGFdg8Vyb,Gateway,b079d020-662d-11f0-a19e-8f874a1c01d3,6,1,1,1,1,True,True
14,IAQ2_s9YPaKXl0puP,IAQ2,c0267380-5e52-11f0-a19e-8f874a1c01d3,4,2,4,6,6,True,True
15,IAQ3_Uf9G16GNKXXu,IAQ3,d12a39a0-5e52-11f0-a19e-8f874a1c01d3,4,2,4,6,6,True,True
17,Water Meter_MbiKu6lQAq1Y,Water Meter,2e0522a0-9866-11f0-a19e-8f874a1c01d3,4,2,4,6,8,True,True
12,Energy_CjZE7eOwq4wa,Energy,8e12c790-5e52-11f0-a19e-8f874a1c01d3,4,2,4,6,5,True,True
16,Gateway_SD80klJP0sgJ,Gateway,26a89770-84b7-11f0-a19e-8f874a1c01d3,4,2,4,6,1,True,True
13,IAQ1_vYzYpoY7u1CN,IAQ1,a01a4210-5e52-11f0-a19e-8f874a1c01d3,4,2,4,6,6,True,True
8,Water_JTTcwf8VtSgM,Water,fd0fc870-5e50-11f0-a19e-8f874a1c01d3,4,1,3,5,8,True,True
9,Gateway_JBl1M75kEDKp,Gateway,0a0b25b0-5e51-11f0-a19e-8f874a1c01d3,4,1,3,5,1,True,True
10,Energy_kN0RKEsJ3Ovx,Energy,382a8d00-5e51-11f0-a19e-8f874a1c01d3,4,1,3,5,5,True,True
11,IAQ_d2UHqNNnIEif,IAQ,4edb6b50-5e51-11f0-a19e-8f874a1c01d3,4,1,3,5,6,True,True
1,IAQ_UXqnXikCoxCo,IAQ,7dd934b0-5da1-11f0-a19e-8f874a1c01d3,4,3,2,1,6,True,True
5,IAQ_QTnlLHfN4fdi,IAQ,6bf5e730-5da5-11f0-a19e-8f874a1c01d3,4,3,1,4,6,True,True
6,Gateway_OWD8YyPH5tRn,Gateway,75945dd0-5da5-11f0-a19e-8f874a1c01d3,4,3,1,4,1,True,True
7,People Counter_aUjiPbTe0N41,People Counter,940c81c0-5da5-11f0-a19e-8f874a1c01d3,4,3,1,2,2,True,True
2,Energy_1_bU9Kpvhdb1ha,Energy 1,04e4dce0-5da5-11f0-a19e-8f874a1c01d3,4,3,1,3,5,True,True
3,Energy_2_APK6EFUywGsZ,Energy 2,24085c00-5da5-11f0-a19e-8f874a1c01d3,4,3,1,3,5,True,True
4,Energy_3_chWgZ8ejd6wv,Energy 3,3dec03b0-5da5-11f0-a19e-8f874a1c01d3,4,3,1,3,5,True,True
28,Temperature_UPLJJkzTgF4v,Temperature Sensor,64214e60-479c-11f0-bf13-bf19a72566f6,1,1,2,15,6,True,True
7,People Counter_eTcrozehAwoZ,People Counter,29436890-4798-11f0-bf13-bf19a72566f6,1,1,2,4,2,True,True
15,IAQ Sensor_FCBFWLgFwj7k,IAQ Sensor,c27807e0-4799-11f0-bf13-bf19a72566f6,1,1,2,13,6,True,True
30,Occupancy_lzDbZpSWkLkT,Occupancy,b19aae20-479c-11f0-bf13-bf19a72566f6,1,1,2,1,3,True,True
8,Gateway_FqwvoAptt2B5,Gateway,4ff8c570-4798-11f0-bf13-bf19a72566f6,1,1,2,8,1,True,True
19,Energy_BGi4Bzh1KWkJ,Energy Clamp,8e00d400-479a-11f0-bf13-bf19a72566f6,1,1,2,8,5,True,True
51,Water Meter_AmRUN3AzIrJd,Water meter,4a829030-58b9-11f0-a19e-8f874a1c01d3,1,1,2,8,8,True,True
4,IAQ Sensor_P9Zf6DwmbcVQ,IAQ Sensor,abc73b80-4797-11f0-bf13-bf19a72566f6,1,1,2,11,6,True,True
52,People Counter_xNrPaURS4r6p,People Counter,ab5fb660-872d-11f0-a19e-8f874a1c01d3,1,1,2,11,2,True,False
13,People Counter_BcLWOpRh4Byz,People Counter,7318f830-4799-11f0-bf13-bf19a72566f6,1,1,2,3,2,True,True
50,Odor _hjtgm3AUNSdO,Odor,2e857e60-58b9-11f0-a19e-8f874a1c01d3,1,1,2,17,6,True,True
49,Water Leak_MdGf5j3Ae9Zs,Water Leak Detector,002f9dc0-58b9-11f0-a19e-8f874a1c01d3,1,1,2,17,7,True,True
21,Occupancy_MLcfNY8PE5WL,Occupancy,6ef94be0-479b-11f0-bf13-bf19a72566f6,1,1,2,12,3,True,True
46,Temperature_AvYwOcSkqEZb,Temperature Sensor,f22ffa70-47a2-11f0-bf13-bf19a72566f6,1,1,2,12,6,True,True
5,People Flow_waTDvSKxFbK4,People Flow,d9b00270-4797-11f0-bf13-bf19a72566f6,1,1,1,5,2,True,True
4,Gateway_Yns5VovOrCsO,Gateway,4cdcff80-827d-11f0-a19e-8f874a1c01d3,7,1,1,4,1,True,True
